,date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
1763421,2021-08-03,US_NC_37041,,,0.0,5030.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1234979,2022-06-19,US_IA_19145,,,0.0,8140.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2114861,2021-06-11,US_PR_72117,,,0.0,5255.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1764529,2021-12-01,US_NC_37045,,,40.0,44601.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1285316,2021-10-03,US_IL_17059,,,7.0,2154.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1345347,2022-03-05,US_IN_18095,,,29.0,67210.0,,,,,,,,,,,,,,,,,,,,,,,,,,
847926,2021-06-14,PL_24_65,93.0,40462.0,9.0,17765.0,102.0,58227.0,,,,,,,,,,,,,,,,,,,,,,,,
680877,2021-10-18,IT_78,2514.0,1326423.0,2971.0,1206143.0,6425.0,2558738.0,,,,,,,,,,,,,,,,,,,,,,,,
2192913,2021-08-28,US_TN_47035,,,0.0,23371.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2045157,2021-11-16,US_OR_41047,,,42.0,199609.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1653847,2021-08-19,US_MO_29113,,,1.0,17812.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2259243,2021-09-27,US_TX_48111,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
331300,2021-07-03,FR_ARA_01,1159.0,316075.0,3443.0,224774.0,4602.0,540849.0,,,,,,,,,,,,,,,,,,,,,,,,
1909496,2022-06-19,US_NM_35061,,,0.0,46120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1887741,2021-05-06,US_NJ_34023,,,4985.0,275288.0,,,,,,,,,,,,,,,,,,,,,,,,,,
600386,2021-04-27,IL_Z_0505,0.0,2055.0,2.0,1906.0,2.0,3961.0,,,,,,,,,,,,,,,,,,,,,,,,
2239955,2021-09-05,US_TX_48033,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017513,2022-03-20,US_OK_40091,,,0.0,10575.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1541222,2022-03-22,US_MI_26001,,,0.0,6040.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1032919,2022-04-06,US_CA_06081,,,58.0,640048.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1544442,2021-07-27,US_MI_26015,,,6.0,23885.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1393962,2022-06-12,US_KS_20105,,,0.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,,,,
206997,2022-01-27,AR_W_070,15.0,36936.0,27.0,27578.0,42.0,64514.0,,,,,,,,,,,,,,,,,,,,,,,,
906573,2021-11-05,SE_321,227.0,178416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
